Date,Price
1/1/2021,14052
1/2/2021,14052
1/3/2021,14052
1/4/2021,14048
1/5/2021,14107
1/6/2021,14077
1/7/2021,14077
1/8/2021,14077
1/9/2021,14077
1/10/2021,14077
1/11/2021,14077
1/12/2021,14077
1/13/2021,14082
1/14/2021,14082
1/15/2021,14082
1/16/2021,14164
1/17/2021,14082
1/18/2021,14082
1/19/2021,14065
1/20/2021,14178
1/21/2021,14178
1/22/2021,14178
1/23/2021,14178
1/24/2021,14178
1/25/2021,14178
1/26/2021,14070
1/27/2021,14072
1/28/2021,14070
1/29/2021,14070
1/30/2021,14070
1/31/2021,14070
2/1/2021,14070
2/2/2021,
2/3/2021,14080
2/4/2021,14080
2/5/2021,14080
2/6/2021,14080
2/7/2021,14080
2/8/2021,14080
2/9/2021,14080
2/10/2021,14067
2/11/2021,14148
2/12/2021,14117
2/13/2021,14067
2/14/2021,14067
2/15/2021,14067
2/16/2021,14067
2/17/2021,14062
2/18/2021,14062
2/19/2021,14062
2/20/2021,14062
2/21/2021,14062
2/22/2021,14143
2/23/2021,14062
2/24/2021,14068
2/25/2021,14068
2/26/2021,14068
2/27/2021,14068
2/28/2021,14068
3/1/2021,14067
3/2/2021,14038
3/3/2021,14045
3/4/2021,14047
3/5/2021,14047
3/6/2021,14047
3/7/2021,14047
3/8/2021,14153
3/9/2021,14047
3/10/2021,14038
3/11/2021,14038
3/12/2021,14038
3/13/2021,14038
3/14/2021,14038
3/15/2021,14040
3/16/2021,14045
3/17/2021,14155
3/18/2021,14048
3/19/2021,14048
3/20/2021,14048
3/21/2021,14048
3/22/2021,14048
3/23/2021,14048
3/24/2021,14048
3/25/2021,14048
3/26/2021,14048
3/27/2021,14048
3/28/2021,14048
3/29/2021,14048
3/30/2021,13615
3/31/2021,13606
4/1/2021,13668
4/2/2021,13606
4/3/2021,13606
4/4/2021,13606
4/5/2021,13606
4/6/2021,13606
4/7/2021,13615
4/8/2021,13615
4/9/2021,13615
4/10/2021,13615
4/11/2021,13615
4/12/2021,13615
4/13/2021,13703
4/14/2021,13584
4/15/2021,13584
4/16/2021,13584
4/17/2021,13584
4/18/2021,13584
4/19/2021,13584
4/20/2021,13673
4/21/2021,13587
4/22/2021,13587
4/23/2021,13587
4/24/2021,13587
4/25/2021,13587
4/26/2021,13587
4/27/2021,13587
4/28/2021,13592
4/29/2021,13592
4/30/2021,13592
5/1/2021,13592
5/2/2021,13592
5/3/2021,13592
5/4/2021,13600
5/5/2021,13595
5/6/2021,13595
5/7/2021,13683
5/8/2021,13683
5/9/2021,13595
5/10/2021,
5/11/2021,13595
5/12/2021,13595
5/13/2021,13595
5/14/2021,13595
5/15/2021,13595
5/16/2021,13595
5/17/2021,13595
5/18/2021,13595
5/19/2021,13595
5/20/2021,13595
5/21/2021,13595
5/22/2021,13595
5/23/2021,13595
5/24/2021,13595
5/25/2021,13595
5/26/2021,13595
5/27/2021,13625
