Date,Price
1/1/2021,Rp. 14.052
1/2/2021,Rp. 14.052
1/3/2021,Rp. 14.052
1/4/2021,Rp. 14.048
1/5/2021,Rp. 14.107
1/6/2021,Rp. 14.077
1/7/2021,Rp. 14.077
1/8/2021,Rp. 14.077
1/9/2021,Rp. 14.077
1/10/2021,Rp. 14.077
1/11/2021,Rp. 14.077
1/12/2021,Rp. 14.077
1/13/2021,Rp. 14.082
1/14/2021,Rp. 14.082
1/15/2021,Rp. 14.082
1/16/2021,Rp. 14.164
1/17/2021,Rp. 14.082
1/18/2021,Rp. 14.082
1/19/2021,Rp. 14.065
1/20/2021,Rp. 14.178
1/21/2021,Rp. 14.178
1/22/2021,Rp. 14.178
1/23/2021,Rp. 14.178
1/24/2021,Rp. 14.178
1/25/2021,Rp. 14.178
1/26/2021,Rp. 14.070
1/27/2021,Rp. 14.072
1/28/2021,Rp. 14.070
1/29/2021,Rp. 14.070
1/30/2021,Rp. 14.070
1/31/2021,Rp. 14.070
2/1/2021,Rp. 14.070
2/3/2021,Rp. 14.080
2/4/2021,Rp. 14.080
2/5/2021,Rp. 14.080
2/6/2021,Rp. 14.080
2/7/2021,Rp. 14.080
2/8/2021,Rp. 14.080
2/9/2021,Rp. 14.080
2/10/2021,Rp. 14.067
2/11/2021,Rp. 14.148
2/12/2021,Rp. 14.117
2/13/2021,Rp. 14.067
2/14/2021,Rp. 14.067
2/15/2021,Rp. 14.067
2/16/2021,Rp. 14.067
2/17/2021,Rp. 14.062
2/18/2021,Rp. 14.062
2/19/2021,Rp. 14.062
2/20/2021,Rp. 14.062
2/21/2021,Rp. 14.062
2/22/2021,Rp. 14.143
2/23/2021,Rp. 14.062
2/24/2021,Rp. 14.068
2/25/2021,Rp. 14.068
2/26/2021,Rp. 14.068
2/27/2021,Rp. 14.068
2/28/2021,Rp. 14.068
3/1/2021,Rp. 14.067
3/2/2021,Rp. 14.038
3/3/2021,Rp. 14.045
3/4/2021,Rp. 14.047
3/5/2021,Rp. 14.047
3/6/2021,Rp. 14.047
3/7/2021,Rp. 14.047
3/8/2021,Rp. 14.153
3/9/2021,Rp. 14.047
3/10/2021,Rp. 14.038
3/11/2021,Rp. 14.038
3/12/2021,Rp. 14.038
3/13/2021,Rp. 14.038
3/14/2021,Rp. 14.038
3/15/2021,Rp. 14.040
3/16/2021,Rp. 14.045
3/17/2021,Rp. 14.155
3/18/2021,Rp. 14.048
3/19/2021,Rp. 14.048
3/20/2021,Rp. 14.048
3/21/2021,Rp. 14.048
